ID,Infos,Type,Nom,"Prénom et Nom",Adresse,"Code postal",Ville,Pays,Longitude,Latitude,Ambassadeur
ID,Infos,Type,Nom,"PrÃ©nom et Nom",Adresse,"Code postal",Ville,Pays,Longitude,Latitude,
15717,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"2 RUE DU DOCTEUR TEMPORAL",01000,BOURG-EN-BRESSE,FRANCE,5.230159,46.210944,
13990,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"35 RUE MARECHAL FOCH",01000,"BOURG EN BRESSE",FRANCE,5.228418,46.205504,OK
15713,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"11 BOULEVARD IRENE JOLIOT-CURIE",01000,BOURG-EN-BRESSE,FRANCE,5.232972,46.209599,
3903,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"12 COURS DE VERDUN",01000,"BOURG EN BRESSE",FRANCE,5.225706,46.2062,OK
15712,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"44 AVENUE DU MAIL",01000,BOURG-EN-BRESSE,FRANCE,5.213252,46.202282,
15710,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"19 AVENUE DE LYON",01000,BOURG-EN-BRESSE,FRANCE,5.214144,46.193995,
9309,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"2 RUE ROBERT SCHUMAN",01000,BOURG-EN-BRESSE,FRANCE,5.230843,46.212678,OK
10432,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"12 AVENUE ALSACE LORRAINE",01000,"BOURG EN BRESSE",FRANCE,5.22273,46.203332,
2375,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"8 RUE NOTRE DAME",01000,"BOURG EN BRESSE",FRANCE,5.225961,46.205227,OK
15718,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"46 AVENUE DE LYON",01000,BOURG-EN-BRESSE,FRANCE,5.21322,46.193073,
4346,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"35 RUE MONTESQUIEU",01000,"BOURG EN BRESSE",FRANCE,5.229433,46.187713,
13507,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"1250 AVENUE DE TREVOUX",01000,"SAINT DENIS LÈS BOURG",FRANCE,5.191144,46.200038,OK
5215,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"9 BOULEVARD IRENE JOLIOT CURIE",01000,"BOURG EN BRESSE",FRANCE,5.23289,46.209619,
15715,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"1 PLACE GEORGES CLEMENCEAU",01000,BOURG-EN-BRESSE,FRANCE,5.226613,46.20577,
14006,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"168 BOULEVARD DE BROU",01000,"BOURG EN BRESSE",FRANCE,5.235231,46.197665,OK
15709,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"96 BOULEVARD DE BROU",01000,BOURG-EN-BRESSE,FRANCE,5.232341,46.201178,
11569,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"55 AVENUE JEAN JAURES",01000,"BOURG EN BRESSE",FRANCE,5.217015,46.197802,OK
15716,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"4 RUE PAUL PIODA",01000,BOURG-EN-BRESSE,FRANCE,5.225898,46.206676,
15711,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"4 AVENUE PIERRE SEMARD",01000,BOURG-EN-BRESSE,FRANCE,5.214965,46.20163,
13154,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"27 RUE CHARLES ROBIN",01000,"BOURG EN BRESSE",FRANCE,5.230962,46.205812,
12733,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"9 AVENUE MAGINOT",01000,"BOURG EN BRESSE",FRANCE,5.227466,46.207907,
359,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"5 PLACE EDGAR QUINET",01000,"BOURG EN BRESSE",FRANCE,5.226768,46.203565,
15720,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"508 GRANDE RUE",01090,FRANCHELEINS,FRANCE,4.808607,46.07462,
8779,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"LE VILLAGE",01090,GENOUILLEUX,FRANCE,4.788886,46.118681,
12993,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"1 PLACE DE LA LIBERTE",01090,"MONTMERLE SUR SAÔNE",FRANCE,4.758651,46.080143,OK
15719,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"1 LOTISSEMENT LE CLOS DE LAVOIR II",01090,GENOUILLEUX,FRANCE,4.79195,46.1214,
7038,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"8 RUE DE MACON",01090,"MONTMERLE SUR SAÔNE",FRANCE,4.757539,46.081043,OK
15721,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"74 RUE JULES MICHELET",01100,OYONNAX,FRANCE,5.645686,46.262733,
15724,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"34 RUE CASTELLION",01100,OYONNAX,FRANCE,5.649075,46.250782,
13325,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"7 PLACE EMILE ZOLA",01100,OYONNAX,FRANCE,5.657389,46.257972,
15725,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"80 RUE ALPHONSE DAUDET",01100,OYONNAX,FRANCE,5.628483,46.271961,
1105,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"48 RUE ANATOLE FRANCE",01100,OYONNAX,FRANCE,5.658814,46.260954,OK
6974,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"24 RUE NORMANDIE NIEMEN",01100,OYONNAX,FRANCE,5.645696,46.257283,OK
3566,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"3 PLACE ARCADES",01100,BELLIGNAT,FRANCE,5.634511,46.251155,
15729,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"13 PLACE DE L’HOTEL DE VILLE",01100,BELLIGNAT,FRANCE,5.628899,46.242328,
11321,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"38 RUE JULES MICHELET",01100,OYONNAX,FRANCE,5.653775,46.260122,OK
15722,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"74 RUE ANATOLE FRANCE",01100,OYONNAX,FRANCE,5.657586,46.259777,
8945,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"96 RUE ANATOLE FRANCE",01100,OYONNAX,FRANCE,5.657253,46.259083,
15723,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"29 RUE VOLTAIRE",01100,OYONNAX,FRANCE,5.656026,46.256056,
1627,"Cartes et recharges disponibles dans ce point de vente",,"PCS Store",,"46 RUE RENE NICOD",01100,OYONNAX,FRANCE,5.651524,46.263896,OK
15727,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"PLACE DES ARCADES",01100,BELLIGNAT,FRANCE,5.634512,46.251064,
15726,"Recharges PCS disponibles dans ce point de vente",,"PCS Store",,"1 RUE DU STADE",01100,ARBENT,FRANCE,5.675205,46.27405,
